	2020	2021	2022	2023	2024
Tekjur	2806879,037	3052958,597	3465807,755	3916468,509	4234806,993
Laun	1596398,968	1760595,144	2044305,717	2296879,686	2455476,383
Eignatekjur	192978,7467	208397,7527	269434,7124	342377,3705	399285,2613
&emsp; þar af vaxtatekjur	51720,95561	54934,76425	83344,42899	140304,6671	199169,6501
Lífeyrir og félagslegar bætur	481502,1245	512603,4597	513113,1823	566977,9911	632776,723
Aðrar tekjur<sup>1</sup>	535999,198	571362,2407	638954,1434	710233,4617	747268,6262
Gjöld	1262113,098	1333299,368	1555613,647	1727575,744	1809322,621
Eignagjöld	80453,67627	72498,43051	89282,69466	113400,3779	123831,4941
&emsp; þar af vaxtagjöld	77816,29288	69677,98773	86167,26493	109719,6152	120822,6658
Skattar á laun	479716,8564	499632,8901	591553,8374	656786,9412	702338,0291
Tryggingagjöld	442474,2389	478237,9099	544909,554	592996,3148	610957,878
Önnur gjöld<sup>2</sup>	259468,326	282930,1377	329867,5612	364392,1098	372195,2194
Ráðstöfunartekjur (tekjur - gjöld)	1544765,94	1719659,229	1910194,108	2188892,766	2425484,373
Ráðstöfunartekjur á mann (í þús. kr.)	4347,207182	4764,687682	5169,899643	5775,55378	6284,349814
Kaupmáttur ráðstöfunartekna á mann (%)	2,18%	4,94%	0,18%	2,73%	2,79%
