rod;geo;land;A01;A0101;A0103;A010405;A010703;A0111
1;LU;Lúxemborg;64;53;46;32;42;53
2;NO;Noregur;72;70;63;29;86;75
3;IS;Ísland;72;60;60;27;71;70
4;AT;Austurríki;78;72;69;69;77;71
5;NL;Holland;82;67;63;75;80;84
6;DE;Þýskaland;85;80;79;95;93;88
7;DK;Danmörk;88;74;82;71;99;91
8;FR;Frakkland;91;93;83;86;98;93
9;IE;Írland;92;75;66;77;75;85
10;FI;Finnland;96;83;91;67;106;95
11;SE;Svíþjóð;99;85;97;78;116;94
12;EU27_2020;ESB;100;100;100;100;100;100
13;ES;Spánn;101;106;102;99;91;94
14;IT;Ítalía;103;107;112;123;89;112
15;PL;Pólland;127;157;187;152;124;166
16;LV;Lettland;130;177;172;152;120;153
17;EL;Grikkland;165;210;179;176;178;172
18;HU;Ungverjaland;167;232;212;93;151;176
19;SK;Slóvakía;172;177;206;147;193;194
