geo;launakostnadur_eur;pli_E011;hlutverk
BE;48.2;116.5;mat
BG;10.6;59.7;mat
CZ;18.1;88.4;mat
DK;50.2;143.1;mat
DE;43.5;108.6;mat
EE;19.6;100.0;mat
IE;42.5;138.1;mat
EL;16.8;86.0;mat
ES;25.5;90.9;mat
FR;43.4;111.2;mat
HR;16.5;76.3;mat
IT;31;97.5;mat
CY;21;92.8;mat
LV;15.1;81.8;mat
LT;16.3;81.6;mat
LU;54.9;132.8;mat
HU;14;73.5;mat
MT;19.1;91.6;mat
NL;45.2;116.0;mat
AT;44.3;112.8;mat
PL;17.3;72.2;mat
PT;18.2;87.0;mat
RO;12.4;63.7;mat
SI;27.1;90.2;mat
SK;18.5;84.7;mat
FI;37.7;123.5;mat
SE;40.2;115.1;mat
IS;53.2;161.7;utan
NO;53.7;124.0;utan
CH;69.59;174.4;utan
