t;ytra_lag;innra_lag;mid;innra_ha;ytra_ha
0;161.7;161.7;161.7;161.7;161.7
1;158.4;159.07;159.38;159.68;160.58
2;155.45;156.66;157.25;157.84;159.52
3;152.83;154.46;155.31;156.16;158.5
4;150.49;152.46;153.54;154.63;157.54
5;148.41;150.63;151.93;153.23;156.62
6;146.56;148.96;150.45;151.95;155.74
7;144.91;147.43;149.11;150.78;154.91
8;143.43;146.04;147.88;149.72;154.12
9;142.12;144.77;146.75;148.74;153.37
10;140.95;143.61;145.73;147.85;152.65
11;139.91;142.54;144.79;147.04;151.97
12;138.99;141.58;143.94;146.3;151.32
13;138.16;140.69;143.16;145.63;150.7
14;137.42;139.89;142.45;145.01;150.11
15;136.77;139.15;141.8;144.44;149.55
16;136.18;138.48;141.2;143.93;149.02
17;135.66;137.86;140.66;143.46;148.51
18;135.2;137.3;140.17;143.03;148.03
19;134.79;136.79;139.71;142.64;147.57
20;134.42;136.32;139.3;142.28;147.14
21;134.09;135.89;138.92;141.95;146.72
22;133.8;135.51;138.58;141.66;146.32
23;133.54;135.15;138.27;141.38;145.95
24;133.31;134.82;137.98;141.14;145.59
25;133.1;134.53;137.72;140.91;145.25
26;132.92;134.26;137.48;140.7;144.92
27;132.75;134.01;137.26;140.51;144.61
28;132.61;133.78;137.06;140.34;144.32
29;132.48;133.58;136.88;140.18;144.04
30;132.36;133.39;136.71;140.04;143.77
