ar;FI;SE;AT;FI_leitni;SE_leitni;AT_leitni;halli
1995;0.1875;0.1759;-0.0006;0.1762;0.1916;-0.0066;0.4122
1996;0.1677;0.2045;-0.0086;0.1714;0.1925;-0.0107;0.3774
1997;0.1734;0.1946;-0.0106;0.1676;0.1902;-0.013;0.363
1998;0.1572;0.1951;-0.0231;0.1613;0.1913;-0.0182;0.3714
1999;0.1521;0.1807;-0.0222;0.1625;0.1761;-0.0179;0.3593
2000;0.1563;0.1814;-0.0265;0.1637;0.1667;-0.0186;0.3576
2001;0.1734;0.1288;-0.0074;0.1667;0.1579;-0.0211;0.3907
2002;0.1794;0.1474;-0.014;0.1642;0.1466;-0.0239;0.3899
2003;0.1725;0.1514;-0.0356;0.1614;0.1326;-0.0263;0.4137
2004;0.1392;0.1239;-0.0362;0.1523;0.1257;-0.0326;0.4008
2005;0.1424;0.1117;-0.0383;0.1342;0.1075;-0.038;0.4127
2006;0.1279;0.0941;-0.039;0.1153;0.0825;-0.0385;0.4013
2007;0.0892;0.0564;-0.0411;0.1035;0.0556;-0.0382;0.3727
2008;0.0776;0.0262;-0.0379;0.0904;0.0474;-0.0374;0.378
2009;0.0802;-0.0101;-0.0348;0.0804;0.0488;-0.036;0.3781
2010;0.0773;0.0707;-0.034;0.08;0.0596;-0.0347;0.3679
2011;0.0775;0.1011;-0.0323;0.0837;0.0825;-0.0334;0.3448
2012;0.0874;0.1101;-0.0343;0.086;0.1059;-0.0332;0.3388
2013;0.0961;0.1407;-0.0316;0.0878;0.1113;-0.0337;0.3539
2014;0.0915;0.1072;-0.0338;0.088;0.1134;-0.0352;0.363
2015;0.0863;0.0974;-0.0363;0.0865;0.1158;-0.0339;0.3628
2016;0.0788;0.1115;-0.0397;0.0852;0.1054;-0.0326;0.3713
2017;0.08;0.1225;-0.0282;0.0839;0.0984;-0.0314;0.3673
2018;0.0892;0.0887;-0.025;0.0816;0.0914;-0.0351;0.3565
2019;0.0853;0.0718;-0.0279;0.0811;0.0863;-0.0417;0.3806
2020;0.0748;0.0628;-0.0549;0.082;0.0742;-0.0505;0.3761
2021;0.0764;0.0856;-0.0724;0.082;0.0625;-0.0542;0.3915
2022;0.0843;0.0622;-0.0725;0.0847;0.0563;-0.0565;0.3961
2023;0.0894;0.0301;-0.0432;0.0872;0.0547;-0.0569;0.3968
2024;0.0989;0.041;-0.0395;0.0909;0.0444;-0.0517;0.3956
