geo;land;launakostnadur_eur;pli_E011;verdleidrett
IS;Ísland;53.2;161.7;32.9004
DK;Danmörk;50.2;143.1;35.0804
IE;Írland;42.5;138.1;30.7748
LU;Lúxemborg;54.9;132.8;41.3404
FI;Finnland;37.7;123.5;30.5263
BE;Belgía;48.2;116.5;41.3734
NL;Holland;45.2;116.0;38.9655
SE;Svíþjóð;40.2;115.1;34.9262
AT;Austurríki;44.3;112.8;39.273
FR;Frakkland;43.4;111.2;39.0288
DE;Þýskaland;43.5;108.6;40.0552
EE;Eistland;19.6;100.0;19.6
IT;Ítalía;31;97.5;31.7949
CY;Kýpur;21;92.8;22.6293
MT;Malta;19.1;91.6;20.8515
ES;Spánn;25.5;90.9;28.0528
SI;Slóvenía;27.1;90.2;30.0443
CZ;Tékkland;18.1;88.4;20.4751
PT;Portúgal;18.2;87.0;20.9195
EL;Grikkland;16.8;86.0;19.5349
SK;Slóvakía;18.5;84.7;21.8418
LV;Lettland;15.1;81.8;18.4597
LT;Litháen;16.3;81.6;19.9755
HR;Króatía;16.5;76.3;21.6252
HU;Ungverjaland;14;73.5;19.0476
PL;Pólland;17.3;72.2;23.9612
RO;Rúmenía;12.4;63.7;19.4662
BG;Búlgaría;10.6;59.7;17.7554
