geo;laun_a_launthega_eur;pli_E011;hlutverk
BE;71693.9;116.5;mat
BG;17832.1;59.7;mat
CZ;29789.6;88.4;mat
DK;66600.1;143.1;mat
DE;55625.0;108.6;mat
EE;33155.1;100.0;mat
IE;66230.9;138.1;mat
EL;22114.4;86.0;mat
ES;40514.2;90.9;mat
FR;55386.9;111.2;mat
HR;26583.0;76.3;mat
IT;42416.0;97.5;mat
CY;33632.9;92.8;mat
LV;26699.6;81.8;mat
LT;29479.6;81.6;mat
LU;88873.6;132.8;mat
HU;20241.2;73.5;mat
MT;34546.5;91.6;mat
NL;61564.1;116.0;mat
AT;60398.2;112.8;mat
PL;25068.7;72.2;mat
PT;30840.7;87.0;mat
RO;21991.1;63.7;mat
SI;39377.4;90.2;mat
SK;26633.2;84.7;mat
FI;54044.1;123.5;mat
SE;51858.9;115.1;mat
IS;77254.0;161.7;utan
