saeti;geo;land;pli_E011
1;IS;Ísland;161.7
2;DK;Danmörk;143.1
3;IE;Írland;138.1
4;LU;Lúxemborg;132.8
5;FI;Finnland;123.5
6;BE;Belgía;116.5
7;NL;Holland;116.0
8;SE;Svíþjóð;115.1
9;AT;Austurríki;112.8
10;FR;Frakkland;111.2
11;DE;Þýskaland;108.6
12;EE;Eistland;100.0
13;IT;Ítalía;97.5
14;CY;Kýpur;92.8
15;MT;Malta;91.6
16;ES;Spánn;90.9
17;SI;Slóvenía;90.2
18;CZ;Tékkland;88.4
19;PT;Portúgal;87.0
20;EL;Grikkland;86.0
21;SK;Slóvakía;84.7
22;LV;Lettland;81.8
23;LT;Litháen;81.6
24;HR;Króatía;76.3
25;HU;Ungverjaland;73.5
26;PL;Pólland;72.2
27;RO;Rúmenía;63.7
28;BG;Búlgaría;59.7
