saeti;geo;land;pli_A01
1;IS;Ísland;172.7
2;LU;Lúxemborg;150.7
3;DK;Danmörk;142.8
4;IE;Írland;141.2
5;FI;Finnland;127.2
6;SE;Svíþjóð;123.0
7;NL;Holland;121.0
8;AT;Austurríki;119.7
9;BE;Belgía;118.7
10;DE;Þýskaland;109.1
11;FR;Frakkland;107.9
12;IT;Ítalía;98.1
13;EE;Eistland;96.5
14;CY;Kýpur;95.1
15;MT;Malta;93.1
16;SI;Slóvenía;91.0
17;ES;Spánn;90.7
18;PT;Portúgal;85.0
19;EL;Grikkland;83.0
20;SK;Slóvakía;81.1
21;CZ;Tékkland;80.2
22;LT;Litháen;78.2
23;LV;Lettland;77.2
24;HR;Króatía;73.3
25;PL;Pólland;70.2
26;HU;Ungverjaland;68.3
27;RO;Rúmenía;57.4
28;BG;Búlgaría;56.9
