saeti;geo;land;midgildi_tekna_eur;tekjuhlutfall_esb;pli_A01;tekjuleidrett_A01
1;SK;Slóvakía;10171.000000;0.471272357;81.1;172.087326713
2;HU;Ungverjaland;8815.000000;0.408442220;68.3;167.220714691
3;EL;Grikkland;10850.000000;0.502733760;83.0;165.097327189
4;RO;Rúmenía;7837.000000;0.363126680;57.4;158.071557994
5;BG;Búlgaría;7811.000000;0.361921972;56.9;157.216207912
6;PT;Portúgal;12646.000000;0.585951256;85.0;145.063261110
7;LT;Litháen;12325.000000;0.571077750;78.2;136.934068966
8;LV;Lettland;12821.000000;0.594059865;77.2;129.953232977
9;EE;Eistland;16140.000000;0.747845427;96.5;129.037360595
10;HR;Króatía;12344.000000;0.571958113;73.3;128.156237848
11;PL;Pólland;11921.000000;0.552358447;70.2;127.091384951
12;CZ;Tékkland;15133.000000;0.701186174;80.2;114.377611842
13;IT;Ítalía;20605.000000;0.954730794;98.1;102.751477797
14;MT;Malta;19701.000000;0.912844037;93.1;101.988944724
15;ES;Spánn;19307.000000;0.894588083;90.7;101.387444968
16;SI;Slóvenía;19620.000000;0.909090909;91.0;100.100000000
17;CY;Kýpur;20666.000000;0.957557224;95.1;99.315213394
18;SE;Svíþjóð;26915.000000;1.247104068;123.0;98.628497121
19;FI;Finnland;28693.000000;1.329487536;127.2;95.675962778
20;IE;Írland;33013.000000;1.529654342;141.2;92.308436071
21;FR;Frakkland;25557.000000;1.184181262;107.9;91.117807254
22;DK;Danmörk;34843.000000;1.614447225;142.8;88.451327383
23;DE;Þýskaland;27619.000000;1.279723844;109.1;85.252768022
24;BE;Belgía;30446.000000;1.410712631;118.7;84.141870853
25;NL;Holland;31981.000000;1.481836716;121.0;81.655420406
26;AT;Austurríki;33210.000000;1.538782319;119.7;77.788780488
27;IS;Ísland;51875.045389;2.403625493;172.7;71.849795447
28;LU;Lúxemborg;50799.000000;2.353767028;150.7;64.025028052
