saeti;geo;land;midgildi_tekna_replik_eur;tekjuhlutfall;pli;tekjuleidrett
1;HU;Ungverjaland;8815;0.408442220368826;73.5;179.952013613159
2;SK;Slóvakía;10171;0.471272356593458;84.7;179.726221610461
3;RO;Rúmenía;7837;0.363126679640441;63.7;175.42087533495
4;EL;Grikkland;10850;0.502733759614494;86;171.064700460829
5;BG;Búlgaría;7811;0.361921972013715;59.7;164.952682114966
6;PT;Portúgal;12646;0.585951255676026;87;148.476514312826
7;LT;Litháen;12325;0.571077749976833;81.6;142.887724137931
8;LV;Lettland;12821;0.594059864702067;81.8;137.696560330707
9;EE;Eistland;16140;0.747845426744509;100;133.717472118959
10;HR;Króatía;12344;0.571958113242517;76.3;133.401377187297
11;PL;Pólland;11921;0.55235844685386;72.2;130.712222129016
12;CZ;Tékkland;15133;0.701186173663238;88.4;126.072080882839
13;IT;Ítalía;20605;0.954730794180335;97.5;102.123028391167
14;ES;Spánn;19307;0.894588082661477;90.9;101.611011550215
15;MT;Malta;19701;0.912844036697248;91.6;100.345728643216
16;SI;Slóvenía;19620;0.909090909090909;90.2;99.22
17;CY;Kýpur;20666;0.957557223612269;92.8;96.913268169941
18;FR;Frakkland;25557;1.18418126216291;111.2;93.9045427867121
19;FI;Finnland;28693;1.32948753590955;123.5;92.8929355591956
20;SE;Svíþjóð;26915;1.24710406820499;115.1;92.2938212892439
21;IE;Írland;33013;1.52965434158095;138.1;90.2818344288613
22;DK;Danmörk;34843;1.61444722453897;143.1;88.637149499182
23;DE;Þýskaland;27619;1.27972384394403;108.6;84.8620587276875
24;BE;Belgía;30446;1.41071263089612;116.5;82.5823753530841
25;NL;Holland;31981;1.48183671578167;116;78.2812294800038
26;AT;Austurríki;33210;1.53878231859883;112.8;73.3047154471545
27;IS;Ísland;51875.0453887822;2.403625492947;161.7;67.2733753550539
28;LU;Lúxemborg;50799;2.35376702807895;132.8;56.4201972479773
