saeti;geo;land;midgildi_tekna_replik_eur;midgildi_tekna_nuverandi_eur;tekjuhlutfall;pli_A01;tekjuleidrett_A01
1;SK;Slóvakía;10171;10171;0.471272356593458;81.1;172.087326713204
2;HU;Ungverjaland;8815;8488;0.408442220368826;68.3;167.220714690868
3;EL;Grikkland;10850;10850;0.502733759614494;83;165.09732718894
4;RO;Rúmenía;7837;7837;0.363126679640441;57.4;158.07155799413
5;BG;Búlgaría;7811;7811;0.361921972013715;56.9;157.216207911919
6;PT;Portúgal;12646;12646;0.585951255676026;85;145.063261110232
7;LT;Litháen;12325;12325;0.571077749976833;78.2;136.934068965517
8;LV;Lettland;12821;12821;0.594059864702067;77.2;129.953232977147
9;EE;Eistland;16140;16140;0.747845426744509;96.5;129.037360594796
10;HR;Króatía;12344;12344;0.571958113242517;73.3;128.156237848347
11;PL;Pólland;11921;11921;0.55235844685386;70.2;127.091384950927
12;CZ;Tékkland;15133;15133;0.701186173663238;80.2;114.377611841671
13;IT;Ítalía;20605;20605;0.954730794180335;98.1;102.751477796651
14;MT;Malta;19701;19701;0.912844036697248;93.1;101.988944723618
15;ES;Spánn;19307;19307;0.894588082661477;90.7;101.387444968146
16;SI;Slóvenía;19620;19620;0.909090909090909;91;100.1
17;CY;Kýpur;20666;20666;0.957557223612269;95.1;99.3152133939804
18;SE;Svíþjóð;26915;26915;1.24710406820499;123;98.6284971205647
19;FI;Finnland;28693;28693;1.32948753590955;127.2;95.675962778378
20;IE;Írland;33013;33013;1.52965434158095;141.2;92.3084360706388
21;FR;Frakkland;25557;25557;1.18418126216291;107.9;91.1178072543726
22;DK;Danmörk;34843;34843;1.61444722453897;142.8;88.4513273828316
23;DE;Þýskaland;27619;27619;1.27972384394403;109.1;85.2527680220138
24;BE;Belgía;30446;30446;1.41071263089612;118.7;84.1418708533141
25;NL;Holland;31981;31981;1.48183671578167;121;81.655420405866
26;AT;Austurríki;33210;33210;1.53878231859883;119.7;77.7887804878049
27;IS;Ísland;51875.0453887822;51875.0453887822;2.403625492947;172.7;71.8497954472344
28;LU;Lúxemborg;50799;50799;2.35376702807895;150.7;64.0250280517333
