geo;land;a01
LU;Lúxemborg;141
NL;Holland;120
DE;Þýskaland;118
IS;Ísland;116
BE;Belgía;112
AT;Austurríki;112
DK;Danmörk;108
FR;Frakkland;106
SE;Svíþjóð;105
FI;Finnland;104
IE;Írland;99
IT;Ítalía;98
CY;Kýpur;96
ES;Spánn;92
MT;Malta;92
LT;Litháen;89
RO;Rúmenía;88
PT;Portúgal;85
SI;Slóvenía;85
PL;Pólland;84
CZ;Tékkland;82
EL;Grikkland;81
HR;Króatía;78
SK;Slóvakía;78
LV;Lettland;76
BG;Búlgaría;74
EE;Eistland;74
HU;Ungverjaland;72
IS_leidrett_lag;Ísland við spágildi (neðri mörk);145.9
IS_leidrett_ha;Ísland við spágildi (efri mörk);155.6
