geo;ar;fravik;adili
AT;1995;-0.000602;1
AT;1996;-0.008591;1
AT;1997;-0.010611;1
AT;1998;-0.023095;1
AT;1999;-0.022172;1
AT;2000;-0.0265;1
AT;2001;-0.007363;1
AT;2002;-0.014038;1
AT;2003;-0.035628;1
AT;2004;-0.036184;1
AT;2005;-0.038291;1
AT;2006;-0.039043;1
AT;2007;-0.041094;1
AT;2008;-0.037897;1
AT;2009;-0.034835;1
AT;2010;-0.034039;1
AT;2011;-0.032338;1
AT;2012;-0.034344;1
AT;2013;-0.031626;1
AT;2014;-0.03376;1
AT;2015;-0.036306;1
AT;2016;-0.039724;1
AT;2017;-0.028191;1
AT;2018;-0.024992;1
AT;2019;-0.027946;1
AT;2020;-0.054864;1
AT;2021;-0.072412;1
AT;2022;-0.072524;1
AT;2023;-0.043193;1
AT;2024;-0.039518;1
BA;2010;-0.128101;0
BA;2011;-0.170366;0
BA;2012;-0.19454;0
BA;2013;-0.182741;0
BA;2014;-0.174241;0
BA;2015;-0.183191;0
BA;2016;-0.181804;0
BA;2017;-0.163983;0
BA;2018;-0.176139;0
BA;2019;-0.1594;0
BA;2020;-0.159861;0
BA;2021;-0.137439;0
BA;2022;-0.134659;0
BA;2023;-0.146294;0
BA;2024;-0.084047;0
BE;1995;-0.049248;1
BE;1996;-0.051869;1
BE;1997;-0.057589;1
BE;1998;-0.037384;1
BE;1999;-0.044371;1
BE;2000;-0.065612;1
BE;2001;-0.077507;1
BE;2002;-0.091561;1
BE;2003;-0.089431;1
BE;2004;-0.085703;1
BE;2005;-0.08038;1
BE;2006;-0.072963;1
BE;2007;-0.067126;1
BE;2008;-0.068085;1
BE;2009;-0.069484;1
BE;2010;-0.069578;1
BE;2011;-0.07451;1
BE;2012;-0.080008;1
BE;2013;-0.083398;1
BE;2014;-0.096553;1
BE;2015;-0.093109;1
BE;2016;-0.084797;1
BE;2017;-0.076085;1
BE;2018;-0.069509;1
BE;2019;-0.080761;1
BE;2020;-0.093705;1
BE;2021;-0.078198;1
BE;2022;-0.075188;1
BE;2023;-0.074917;1
BE;2024;-0.073056;1
BG;1995;-0.091289;0
BG;1996;-0.243766;0
BG;1997;-0.066856;0
BG;1998;-0.054419;0
BG;1999;-0.091917;0
BG;2000;-0.091414;0
BG;2001;-0.000163;0
BG;2002;-0.009648;0
