geo;innganga;fravik_vid_inngongu;fravik_2024
FI;1995;0.1875;0.0989
SE;1995;0.1759;0.041
AT;1995;-0.0006;-0.0395
CZ;2004;-0.1291;-0.0045
EE;2004;0.0472;0.0795
CY;2004;0.0269;-0.0039
LV;2004;0.0922;-0.038
LT;2004;-0.0351;-0.0772
HU;2004;-0.0634;-0.0356
MT;2004;-0.0601;-0.0271
PL;2004;-0.1076;-0.1295
SI;2004;-0.0795;-0.0904
SK;2004;-0.0483;-0.0029
BG;2007;0.0296;-0.1764
RO;2007;0.1015;-0.1911
HR;2013;-0.1323;-0.1011
IS;utan ESB;0.0927;0.2491
NO;utan ESB;0.206;0.0098
CH;utan ESB;0.0866;0.1883
