urtak;k;n;riki;beta;se_beta;helmingunartimi_ar;r2;adrattarpunktur_mu
Öll ríki;1;926;33;-0.08341;0.03951;7.95824;0.04927;-0.00919
Öll ríki;5;794;33;-0.24928;0.05979;12.08734;0.1499;-0.01874
Öll ríki;10;629;33;-0.3896;0.08861;14.04148;0.21459;-0.03553
Án matsríkjanna ellefu;1;607;22;-0.10083;0.0492;6.52165;0.05923;-0.01544
Án matsríkjanna ellefu;5;519;22;-0.29134;0.07175;10.06352;0.17562;-0.02738
Án matsríkjanna ellefu;10;409;22;-0.44623;0.10951;11.72834;0.2364;-0.04882
Aðildarríki ESB;1;651;27;-0.03358;0.00882;20.29252;0.02046;-0.04873
Aðildarríki ESB;5;543;27;-0.14675;0.04232;21.83716;0.07319;-0.06999
Aðildarríki ESB;10;408;27;-0.26156;0.06523;22.86005;0.13549;-0.06714
Ríki utan ESB;1;275;19;-0.14717;0.08165;4.35422;0.08861;0.02522
Ríki utan ESB;5;251;19;-0.37364;0.09365;7.40816;0.26083;0.02929
Ríki utan ESB;10;221;19;-0.51406;0.13861;9.60472;0.29453;-0.01196
Ísland, Noregur og Sviss;1;87;3;-0.19698;0.06773;3.15955;0.08843;0.14779
Ísland, Noregur og Sviss;5;75;3;-0.77839;0.16673;2.30003;0.37385;0.14826
Ísland, Noregur og Sviss;10;60;3;-1.07653;0.2471;;0.48677;0.14088
