rod;geo;land;flokkur;heiti;birt;nuverandi_endurgerd;nuverandi_namundad;lokaendurgerd;lokaendurgerd_namundad;fravik_nuverandi;fravik_lokaendurgerd;status
1;LU;Lúxemborg;A01;Einstaklingsbundin neysla;64;64.025028;64;64.025028;64;0.025028;0.025028;SAMHLJÓÐA
1;LU;Lúxemborg;A0101;Matur og óáfengir drykkir;53;53.021390;53;53.021390;53;0.021390;0.021390;SAMHLJÓÐA
1;LU;Lúxemborg;A0103;Föt og skór;46;46.351231;46;46.351231;46;0.351231;0.351231;SAMHLJÓÐA
1;LU;Lúxemborg;A010405;Rafmagn, gas og annað eldsneyti;32;32.203697;32;32.203697;32;0.203697;0.203697;SAMHLJÓÐA
1;LU;Lúxemborg;A010703;Flutningaþjónusta;42;41.805327;42;41.805327;42;-0.194673;-0.194673;SAMHLJÓÐA
1;LU;Lúxemborg;A0111;Veitingastaðir og hótel;53;52.511569;53;52.511569;53;-0.488431;-0.488431;SAMHLJÓÐA
2;NO;Noregur;A01;Einstaklingsbundin neysla;72;71.580585;72;71.580585;72;-0.419415;-0.419415;SAMHLJÓÐA
2;NO;Noregur;A0101;Matur og óáfengir drykkir;70;70.032608;70;70.032608;70;0.032608;0.032608;SAMHLJÓÐA
2;NO;Noregur;A0103;Föt og skór;63;62.773130;63;62.773130;63;-0.226870;-0.226870;SAMHLJÓÐA
2;NO;Noregur;A010405;Rafmagn, gas og annað eldsneyti;29;29.037911;29;29.037911;29;0.037911;0.037911;SAMHLJÓÐA
2;NO;Noregur;A010703;Flutningaþjónusta;86;86.259676;86;86.259676;86;0.259676;0.259676;SAMHLJÓÐA
2;NO;Noregur;A0111;Veitingastaðir og hótel;75;74.729917;75;74.729917;75;-0.270083;-0.270083;SAMHLJÓÐA
3;IS;Ísland;A01;Einstaklingsbundin neysla;72;71.849795;72;71.849795;72;-0.150205;-0.150205;SAMHLJÓÐA
3;IS;Ísland;A0101;Matur og óáfengir drykkir;60;59.867896;60;59.867896;60;-0.132104;-0.132104;SAMHLJÓÐA
3;IS;Ísland;A0103;Föt og skór;60;59.659876;60;59.659876;60;-0.340124;-0.340124;SAMHLJÓÐA
3;IS;Ísland;A010405;Rafmagn, gas og annað eldsneyti;27;26.709652;27;26.709652;27;-0.290348;-0.290348;SAMHLJÓÐA
3;IS;Ísland;A010703;Flutningaþjónusta;71;70.560077;71;70.560077;71;-0.439923;-0.439923;SAMHLJÓÐA
3;IS;Ísland;A0111;Veitingastaðir og hótel;70;69.603189;70;69.603189;70;-0.396811;-0.396811;SAMHLJÓÐA
4;AT;Austurríki;A01;Einstaklingsbundin neysla;78;77.788780;78;77.788780;78;-0.211220;-0.211220;SAMHLJÓÐA
4;AT;Austurríki;A0101;Matur og óáfengir drykkir;72;71.810027;72;71.810027;72;-0.189973;-0.189973;SAMHLJÓÐA
4;AT;Austurríki;A0103;Föt og skór;69;68.690678;69;68.690678;69;-0.309322;-0.309322;SAMHLJÓÐA
4;AT;Austurríki;A010405;Rafmagn, gas og annað eldsneyti;69;69.275556;69;69.275556;69;0.275556;0.275556;SAMHLJÓÐA
4;AT;Austurríki;A010703;Flutningaþjónusta;77;76.813984;77;76.813984;77;-0.186016;-0.186016;SAMHLJÓÐA
4;AT;Austurríki;A0111;Veitingastaðir og hótel;71;71.485095;71;71.485095;71;0.485095;0.485095;SAMHLJÓÐA
5;NL;Holland;A01;Einstaklingsbundin neysla;82;81.655420;82;81.655420;82;-0.344580;-0.344580;SAMHLJÓÐA
5;NL;Holland;A0101;Matur og óáfengir drykkir;67;66.741497;67;66.741497;67;-0.258503;-0.258503;SAMHLJÓÐA
5;NL;Holland;A0103;Föt og skór;63;62.759951;63;62.759951;63;-0.240049;-0.240049;SAMHLJÓÐA
5;NL;Holland;A010405;Rafmagn, gas og annað eldsneyti;75;74.569619;75;74.569619;75;-0.430381;-0.430381;SAMHLJÓÐA
5;NL;Holland;A010703;Flutningaþjónusta;80;79.900841;80;79.900841;80;-0.099159;-0.099159;SAMHLJÓÐA
5;NL;Holland;A0111;Veitingastaðir og hótel;84;84.084838;84;84.084838;84;0.084838;0.084838;SAMHLJÓÐA
6;DE;Þýskaland;A01;Einstaklingsbundin neysla;85;85.252768;85;85.252768;85;0.252768;0.252768;SAMHLJÓÐA
6;DE;Þýskaland;A0101;Matur og óáfengir drykkir;80;80.251689;80;80.251689;80;0.251689;0.251689;SAMHLJÓÐA
6;DE;Þýskaland;A0103;Föt og skór;79;79.079561;79;79.079561;79;0.079561;0.079561;SAMHLJÓÐA
6;DE;Þýskaland;A010405;Rafmagn, gas og annað eldsneyti;95;95.411210;95;95.411210;95;0.411210;0.411210;SAMHLJÓÐA
6;DE;Þýskaland;A010703;Flutningaþjónusta;93;92.754386;93;92.754386;93;-0.245614;-0.245614;SAMHLJÓÐA
6;DE;Þýskaland;A0111;Veitingastaðir og hótel;88;87.597024;88;87.597024;88;-0.402976;-0.402976;SAMHLJÓÐA
7;DK;Danmörk;A01;Einstaklingsbundin neysla;88;88.451327;88;88.451327;88;0.451327;0.451327;SAMHLJÓÐA
7;DK;Danmörk;A0101;Matur og óáfengir drykkir;74;74.452728;74;74.452728;74;0.452728;0.452728;SAMHLJÓÐA
