ar;geo;land;launakostnadur_eur;pli_E011;spad;fravik;fravik_sd;teygni_ars
2012;IS;Ísland;23.2;114.0;103.2;0.1047;1.29;0.368
2012;NO;Noregur;56.4;165.5;143.0;0.157;1.88;0.368
2012;CH;Sviss;51.2;157.8;138.0;0.1431;1.73;0.368
2016;IS;Ísland;36.2;158.8;122.7;0.2944;3.32;0.418
2016;NO;Noregur;49.3;152.6;139.6;0.0931;1.15;0.418
2016;CH;Sviss;55.6;168.2;146.8;0.1457;1.75;0.418
2020;IS;Ísland;37.8;142.7;122.1;0.1686;1.69;0.438
2020;NO;Noregur;49.1;135.8;136.9;-0.0082;-0.09;0.438
2021;IS;Ísland;42.6;149.8;127.7;0.1734;1.84;0.441
2021;NO;Noregur;53.1;141.4;140.7;0.0051;0.06;0.441
2022;IS;Ísland;48.2;161.2;132.0;0.2211;2.15;0.424
2022;NO;Noregur;54.5;141.9;139.1;0.0203;0.22;0.424
2023;IS;Ísland;49.7;157.5;129.5;0.2162;2.24;0.416
2023;NO;Noregur;51.9;124.2;131.9;-0.0581;-0.68;0.416
2024;IS;Ísland;53.2;161.7;130.6;0.2378;2.57;0.424
2024;NO;Noregur;53.7;124.0;131.2;-0.0546;-0.68;0.424
2024;CH;Sviss;69.59;174.4;146.4;0.1914;2.11;0.424
